id,name,short,desc,cost,isBonus,isGolden,spritePath,effectPlugin,extra1,extra2,source,tags,spriteAuthor
techlock,Technology Blockade,Reduce OP,OP - %s,3,FALSE,,graphics/ungp/icons/ungp_rules/techlock.png,ungp.impl.rules.character.UNGP_TechLock,,,,,
galatia_underachiever,Galatia Underachiever,Reduce the ability of command,"Command points -%s at the beginning of the battle, and command point recovery rate -%s during the whole battle",2,FALSE,,graphics/ungp/icons/ungp_rules/galatia_underachiever.png,ungp.impl.rules.character.UNGP_GalatiaUnderachiever,,,,,议长√
besieged,Besieged,Reduce avaiable deployment points,"At the start of a battle, available deployment points are reduced by %s of the battle size",4,FALSE,,graphics/ungp/icons/ungp_rules/besieged.png,ungp.impl.rules.character.UNGP_Besieged,,,,,议长√
,,,,,,,,,,,,,
naval_treaty,Arms Limitation Treaty,Limit mixing different design types of ships,"When the fleet contains ships of more than %s different design types, decreases max CR by %s at maximum",3,FALSE,,graphics/ungp/icons/ungp_rules/naval_treaty.png,ungp.impl.rules.fleet.UNGP_NavalTreaty,,,,,
deep_space_fear,Deep Space Phobia,Decrease the performance of sensors in hyperspace,"While in hyperspace,the sensor strength x %s, sensor profile and detected range x %s",1,FALSE,,graphics/ungp/icons/ungp_rules/deep_space_fear.png,ungp.impl.rules.fleet.UNGP_DeepSpaceFear,,,,,
ancient_threat,Ancient Threat,Reduce max combat readiness in remnant system,Max combat readiness -%s in the remnant system,1,FALSE,,graphics/ungp/icons/ungp_rules/ancient_threat.png,ungp.impl.rules.fleet.UNGP_AncientThreat,,,,,
disarmament_agreement,The Detente,Increase supplies cost for large fleets,"If the number of fleet members exceeds %s, the supplies cost per month of all ships will be increased by %s for each additional ship",3,FALSE,,graphics/ungp/icons/ungp_rules/disarmament_agreement.png,ungp.impl.rules.fleet.UNGP_DisarmamentAgreement,,,,,
blood_lust,Blood Lust,Reduce the max CR if you don't fight,"If player does not engage in any battles for %s days, max CR will be reduced by %s",2,FALSE,,graphics/ungp/icons/ungp_rules/blood_lust.png,ungp.impl.rules.fleet.UNGP_BloodLust,You and your crew have %s days to endure... ,You and your crew need a hearty battle...,,,议长√
john_wick,John Wick,Hostile fleet accelarating,"If the assignment target of hostile fleets was player's fleet, those fleet's max burn level + %s",1,FALSE,,graphics/ungp/icons/ungp_rules/john_wick.png,ungp.impl.rules.fleet.UNGP_JohnWick,,,,,影之光√
,,,,,,,,,,,,,
low_repairtech,Low Efficiency Repair,Reduce repair rate,Fleetwide repair and combat readiness recover rate - %s,1,FALSE,,graphics/ungp/icons/ungp_rules/low_repairtech.png,ungp.impl.rules.member.UNGP_LowRepairTech,,,,,
dangerous_sector,Dangerous Sector,Increase special terrain effect,Special terrain effect to combat readiness decreases x %s,1,FALSE,,graphics/ungp/icons/ungp_rules/dangerous_sector.png,ungp.impl.rules.member.UNGP_DangerousSector,,,,,
,,,,,,,,,,,,,
